,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,santa rosa,14.3122,121.1114,27.28,88,99,2.38,PH,1627567327
264,vila do maio,15.1333,-23.2167,23.99,77,100,3.56,CV,1627567330
265,caravelas,-17.7125,-39.2481,26.72,60,2,3.66,BR,1627567332
266,kone,-21.0595,164.8658,18.96,79,55,0.68,NC,1627567334
267,nouadhibou,20.931,-17.0347,20.67,91,9,8.05,MR,1627567336
268,korla,41.7597,86.1469,36.03,15,2,5.87,CN,1627567338
269,kupang,-10.1667,123.5833,24.73,82,43,4.75,ID,1627567340
270,cap malheureux,-19.9842,57.6142,21.93,70,77,4.47,MU,1627567273
271,sychevka,55.8252,34.2736,26.44,53,98,2.95,RU,1627567343
272,karratha,-20.7377,116.8463,21.84,74,0,3.82,AU,1627567346
273,auki,-8.7676,160.7034,24.45,87,7,1.87,SB,1627567348
274,alice springs,-23.7,133.8833,15.75,44,0,0.0,AU,1627567351
275,poum,-20.2333,164.0167,21.51,72,43,3.03,NC,1627567353
276,ayan,56.45,138.1667,12.43,93,100,12.09,RU,1627567355
277,egvekinot,66.3167,-179.1667,3.72,91,100,2.19,RU,1627567358
278,shihezi,44.3,86.0333,30.6,22,3,3.7,CN,1627567361
279,urubicha,-15.3833,-62.95,17.73,16,73,3.08,BO,1627567363
280,arroio grande,-32.2375,-53.0869,7.92,65,6,5.65,BR,1627567365
281,luderitz,-26.6481,15.1594,20.44,41,0,9.58,NA,1627567367
282,mubi,10.2676,13.2644,23.76,83,100,0.91,NG,1627567369
283,belmonte,-15.8631,-38.8828,27.58,64,4,3.36,BR,1627567370
284,mackay,-21.15,149.2,18.36,87,0,2.25,AU,1627567211
285,aurora,39.7294,-104.8319,27.81,54,97,0.89,US,1627567148
286,airai,-8.9266,125.4092,14.31,76,15,1.06,TL,1627567376
287,villazon,-22.0866,-65.5942,4.98,26,4,1.54,BO,1627567379
288,kapoeta,4.7717,33.5903,28.35,47,100,2.92,SS,1627567381
289,comodoro rivadavia,-45.8667,-67.5,10.55,50,72,3.61,AR,1627567316
290,ternate,0.8,127.4,27.46,81,56,1.78,ID,1627567384
291,inta,66.0317,60.1659,13.2,61,81,3.91,RU,1627567386
292,andrushivka,50.0229,29.0202,30.51,45,0,5.4,UA,1627567388
293,saint-francois,46.4154,3.9054,26.93,57,20,1.54,FR,1627567392
294,westport,41.1415,-73.3579,24.92,85,79,0.45,US,1627567273
295,natitingou,10.3042,1.3796,27.49,66,90,3.79,BJ,1627567395
296,novosheshminsk,55.0651,51.2338,22.94,54,100,7.51,RU,1627567397
297,general roca,-39.0333,-67.5833,11.91,27,0,4.27,AR,1627567400
298,firminy,45.3873,4.2907,26.28,44,0,1.54,FR,1627567402
299,waw,7.7029,27.9953,29.37,61,100,1.91,SS,1627567404
300,muriti,-1.9833,32.9167,25.01,48,16,2.58,TZ,1627567405
301,teahupoo,-17.8333,-149.2667,20.98,81,66,3.01,PF,1627567407
302,tiarei,-17.5333,-149.3333,24.01,77,87,0.61,PF,1627567409
303,pryyutivka,48.7209,33.0708,32.81,33,62,3.96,UA,1627567411
304,bengkulu,-3.8004,102.2655,25.77,86,84,3.85,ID,1627567413
305,kitui,-1.367,38.0106,22.54,47,98,5.69,KE,1627567415
306,pontianak,-0.0333,109.3333,26.99,89,40,3.09,ID,1627567417
307,omboue,-1.5746,9.2618,27.35,63,30,6.16,GA,1627567419
308,havelock,34.8791,-76.9013,28.36,86,0,1.33,US,1627567421
309,miri,4.4148,114.0089,30.08,79,40,3.09,MY,1627567196
310,walvis bay,-22.9575,14.5053,17.27,50,8,8.91,NA,1627567424
311,stranraer,54.9023,-5.0273,16.79,81,55,7.43,GB,1627567426
312,port hueneme,34.1478,-119.1951,27.01,93,90,1.54,US,1627567428
313,kemi,65.8596,24.8228,22.87,60,0,4.12,FI,1627567430
